Player,Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq,TO Freq,SF Freq,And One Freq,Score Freq,Percentile
Trey Lyles,UTA,77,12,2.20%,0.92,11,3,7,42.9,42.9,33.30%,16.70%,8.30%,8.30%,50.00%,73
Tristan Thompson,CLE,81,34,5.80%,0.82,28,13,28,46.4,46.4,8.80%,8.80%,5.90%,0.00%,41.20%,46.2
Tyler Zeller,BOS,60,24,6.30%,0.92,22,6,15,40,40,25.00%,16.70%,20.80%,4.20%,45.80%,73
Tyson Chandler,PHX,65,40,8.30%,0.85,34,13,25,52,52,12.50%,27.50%,5.00%,2.50%,42.50%,54.3
Vince Carter,MEM,60,34,8.30%,0.74,25,9,25,36,36,17.60%,14.70%,17.60%,5.90%,38.20%,30.9
Wesley Matthews,DAL,78,98,9.90%,0.9,88,35,79,44.3,44.3,10.20%,10.20%,10.20%,1.00%,44.90%,69.1
Will Barton,DEN,82,10,0.80%,0.2,2,1,7,14.3,14.3,0.00%,30.00%,0.00%,0.00%,10.00%,0.4
Willie Cauley-Stein,SAC,65,25,5.60%,0.52,13,6,19,31.6,31.6,4.00%,20.00%,4.00%,0.00%,28.00%,8.5
Willie Reed,BKN,35,15,8.60%,0.8,12,5,11,45.5,45.5,20.00%,6.70%,20.00%,0.00%,40.00%,42.5
Zach Randolph,MEM,68,400,36.20%,0.85,338,140,316,44.3,44.3,9.00%,12.00%,6.30%,0.30%,43.50%,52.9
Zaza Pachulia,DAL,75,30,4.20%,0.87,26,9,19,47.4,47.4,16.70%,23.30%,13.30%,3.30%,43.30%,60.6
