Player,Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq,TO Freq,SF Freq,And One Freq,Score Freq,Percentile
Julius Randle,LAL,81,24,2.20%,0.67,16,8,20,40,40,4.20%,16.70%,4.20%,4.20%,33.30%,25.4
Justin Holiday,CHI,26,32,16.70%,0.84,27,9,26,34.6,36.5,12.50%,6.30%,12.50%,0.00%,40.60%,69
Justin Anderson,DAL,51,32,14.10%,0.69,22,9,25,36,40,3.10%,18.80%,0.00%,0.00%,31.30%,29.8
Justise Winslow,MIA,78,43,7.00%,0.44,19,7,29,24.1,24.1,14.00%,20.90%,14.00%,2.30%,25.60%,5.5
Kawhi Leonard,SAS,72,181,13.70%,1.02,184,70,146,47.9,51.7,11.60%,11.60%,11.60%,4.40%,45.90%,95.2
Kelly Oubre Jr.,WAS,54,25,9.40%,0.48,12,6,22,27.3,27.3,4.00%,12.00%,4.00%,4.00%,24.00%,7.2
Kemba Walker,CHA,81,789,46.70%,0.89,705,261,629,41.5,46.2,10.10%,10.90%,8.40%,0.90%,41.80%,80.7
Kendall Marshall,PHI,30,49,29.30%,0.41,20,9,29,31,31,2.00%,38.80%,2.00%,0.00%,20.40%,4.8
Kent Bazemore,ATL,75,140,15.10%,0.59,83,31,103,30.1,31.6,7.90%,20.00%,6.40%,1.40%,28.60%,15.9
Kentavious Caldwell-Pope,DET,76,260,22.40%,0.82,214,87,217,40.1,41.5,9.20%,9.60%,8.50%,2.30%,40.40%,63.1
Kevin Durant,OKC,72,348,19.00%,0.93,325,107,235,45.5,51.3,12.60%,22.70%,11.80%,2.90%,40.50%,87.9
Kevin Martin,SAS,15,10,9.10%,0.4,4,1,8,12.5,12.5,10.00%,10.00%,0.00%,0.00%,20.00%,3.8
Khris Middleton,MIL,79,261,18.00%,0.78,204,84,199,42.2,44.2,6.10%,18.40%,5.40%,0.80%,37.50%,51.7
Kirk Hinrich,CHI,33,42,27.80%,0.74,31,11,30,36.7,45,4.80%,23.80%,2.40%,0.00%,31.00%,40.3
Klay Thompson,GSW,80,115,7.10%,0.93,107,39,90,43.3,50,9.60%,13.90%,10.40%,2.60%,40.90%,86.9
Kobe Bryant,LAL,66,281,21.00%,0.84,235,85,217,39.2,45.9,7.80%,15.30%,7.80%,1.10%,36.70%,65.9
