Player,Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq,TO Freq,SF Freq,And One Freq,Score Freq,Percentile
Trevor Ariza,HOU,81,40,3.80%,0.75,30,9,33,27.3,34.8,10.00%,10.00%,10.00%,2.50%,30.00%,37.5
Trevor Booker,UTA,79,10,1.90%,0.2,2,1,8,12.5,12.5,0.00%,20.00%,0.00%,0.00%,10.00%,0.3
Trey Lyles,UTA,77,22,4.10%,0.91,20,4,13,30.8,30.8,36.40%,9.10%,31.80%,4.50%,50.00%,71.3
Trey Burke,UTA,64,51,6.80%,0.9,46,20,44,45.5,48.9,5.90%,9.80%,5.90%,2.00%,43.10%,69.8
Ty Lawson,HOU,53,32,7.90%,0.63,20,7,20,35,35,15.60%,21.90%,15.60%,0.00%,34.40%,18.9
Tyler Ennis,MIL,46,17,6.90%,0.88,15,5,13,38.5,38.5,23.50%,5.90%,11.80%,5.90%,47.10%,65.9
Tyler Johnson,MIA,35,16,5.00%,1,16,6,12,50,50,18.80%,12.50%,18.80%,6.30%,50.00%,88
Tyreke Evans,NOP,25,74,17.40%,0.77,57,19,59,32.2,34.7,16.20%,8.10%,12.20%,4.10%,36.50%,43
Tyus Jones,MIN,37,16,7.90%,1.13,18,7,15,46.7,53.3,18.80%,6.30%,18.80%,18.80%,43.80%,95.9
Victor Oladipo,ORL,72,89,7.30%,0.96,85,29,76,38.2,44.7,11.20%,5.60%,11.20%,2.20%,41.60%,81.1
Vince Carter,MEM,60,20,4.90%,0.3,6,1,13,7.7,7.7,10.00%,25.00%,10.00%,0.00%,15.00%,2.1
Wayne Ellington,BKN,76,15,2.40%,0.87,13,5,13,38.5,50,0.00%,13.30%,0.00%,0.00%,33.30%,63.8
Wesley Johnson,LAC,78,11,1.90%,0.91,10,4,9,44.4,50,9.10%,18.20%,9.10%,9.10%,36.40%,71.3
Wesley Matthews,DAL,78,57,5.80%,0.93,53,20,47,42.6,46.8,8.80%,10.50%,8.80%,1.80%,42.10%,75.9
Will Barton,DEN,82,91,7.40%,0.7,64,26,78,33.3,36.5,6.60%,11.00%,5.50%,3.30%,31.90%,28.2
Willie Cauley-Stein,SAC,65,13,2.90%,1,13,4,9,44.4,44.4,23.10%,15.40%,23.10%,7.70%,46.20%,88
Zach Randolph,MEM,68,175,15.80%,0.89,155,63,148,42.6,42.9,9.10%,6.90%,9.10%,0.60%,44.60%,67.4
Zach LaVine,MIN,82,98,8.20%,0.92,90,33,85,38.8,44.1,10.20%,5.10%,8.20%,2.00%,40.80%,72.9
Zaza Pachulia,DAL,75,40,5.60%,1.02,41,12,23,52.2,52.2,27.50%,15.00%,25.00%,0.00%,55.00%,90
